entity,filename,line,total_graph_function_loc,function_nodes_in_graph,dependency_closure_size
__off_t#types.h#70,types.h,70,0,0,1
_G_fpos_t#__fpos_t.h#142,__fpos_t.h,142,0,0,2
symbol#lemon.c#1620,lemon.c,1620,0,0,5
rule#lemon.c#1640,lemon.c,1640,0,0,5
e_action#lemon.c#1679,lemon.c,1679,0,0,1
state#lemon.c#1694,lemon.c,1694,0,0,11
action#lemon.c#1682,lemon.c,1682,0,0,11
lookahead_action#lemon.c#1862,lemon.c,1862,0,0,1
acttab#lemon.c#1869,lemon.c,1869,0,0,2
u8#sqlite3.c#2443,sqlite3.c,2443,0,0,2
u32#sqlite3.c#2437,sqlite3.c,2437,0,0,2
ExprList#sqlite3.c#3699,sqlite3.c,3699,0,0,1
AggInfo#sqlite3.c#3631,sqlite3.c,3631,0,0,6
sqlite3#sqlite3.c#3332,sqlite3.c,3332,0,0,136
analysisInfo#sqlite3.c#50669,sqlite3.c,50669,0,0,137
sqlite3_file#sqlite3.h#1774,sqlite3.h,1774,0,0,13
sqlite3_int64#sqlite3.h#1762,sqlite3.h,1762,0,0,2
ApndFile#shell.c#11106,shell.c,11106,0,0,13
ShellState#shell.c#19081,shell.c,19081,0,0,143
sqlite3#sqlite3.h#1756,sqlite3.h,1756,0,0,136
u8#shell.c#2689,shell.c,2689,0,0,1
FILE#FILE.h#158,FILE.h,158,0,0,1
ArCommand#shell.c#23064,shell.c,23064,0,0,144
Parse#sqlite3.c#3896,sqlite3.c,3896,0,0,136
AuthContext#sqlite3.c#3983,sqlite3.c,3983,0,0,137
Table#sqlite3.c#3509,sqlite3.c,3509,0,0,136
AutoincInfo#sqlite3.c#3862,sqlite3.c,3862,0,0,136
axset#lemon.c#4653,lemon.c,4653,0,0,12
Bitvec#sqlite3.c#16779,sqlite3.c,16779,0,0,5
i64#sqlite3.c#2433,sqlite3.c,2433,0,0,4
MemPage#sqlite3.c#23171,sqlite3.c,23171,0,0,136
BtShared#sqlite3.c#23221,sqlite3.c,23221,0,0,136
Pgno#sqlite3.c#2659,sqlite3.c,2659,0,0,2
u16#sqlite3.c#2439,sqlite3.c,2439,0,0,2
